ImageName,LatitudeDD,LongitudeDD,DepthInMeters,SurveyID,Locality,Presence
DSC-11094,26.4852,-84.7847,455,NF-1708,Long Mound North,0
DSC-11095,26.4852,-84.7847,455,NF-1708,Long Mound North,0
DSC-11096,25.6408,-84.5524,450,NF-1708,Okeanos Ridge,0
DSC-11097,26.4852,-84.7847,455,NF-1708,Long Mound North,0
DSC-11098,26.4852,-84.7847,455,NF-1708,Long Mound North,0
DSC-11099,26.4851,-84.7847,453,NF-1708,Long Mound North,0
DSC-11100,26.4851,-84.7847,453,NF-1708,Long Mound North,0
DSC-11101,26.4851,-84.7847,453,NF-1708,Long Mound North,0
DSC-11102,26.4851,-84.7847,451,NF-1708,Long Mound North,0
DSC-11103,26.4851,-84.7847,451,NF-1708,Long Mound North,0
DSC-11104,26.4851,-84.7847,451,NF-1708,Long Mound North,0
DSC-11105,26.4851,-84.7848,450,NF-1708,Long Mound North,0
DSC-11106,26.4851,-84.7848,450,NF-1708,Long Mound North,0
DSC-11107,26.4851,-84.7848,450,NF-1708,Long Mound North,0
DSC-11108,26.4850,-84.7848,449,NF-1708,Long Mound North,0
DSC-11109,26.4852,-84.7847,455,NF-1708,Long Mound North,0
DSC-11110,26.4850,-84.7848,449,NF-1708,Long Mound North,0
DSC-11111,26.4849,-84.7848,448,NF-1708,Long Mound North,0
DSC-11113,26.4849,-84.7848,448,NF-1708,Long Mound North,0
DSC-11116,26.4850,-84.7848,449,NF-1708,Long Mound North,0
DSC-11118,26.4848,-84.7848,453,NF-1708,Long Mound North,0
DSC-11119,26.4848,-84.7848,454,NF-1708,Long Mound North,0
DSC-11120,26.4847,-84.7848,452,NF-1708,Long Mound North,0
DSC-11121,26.4847,-84.7848,452,NF-1708,Long Mound North,0
DSC-11122,26.4847,-84.7848,452,NF-1708,Long Mound North,0
DSC-11123,26.4848,-84.7848,453,NF-1708,Long Mound North,0
DSC-11124,26.4846,-84.7848,449,NF-1708,Long Mound North,0
DSC-11125,26.4847,-84.7848,452,NF-1708,Long Mound North,0
DSC-11126,26.4846,-84.7848,449,NF-1708,Long Mound North,0
DSC-11127,26.4845,-84.7848,447,NF-1708,Long Mound North,0
DSC-11128,26.4845,-84.7848,447,NF-1708,Long Mound North,0
