SampleID,ImageName,ImageFilePath,LatitudeDD,LongitudeDD,DepthInMeters,ObservationDate,ObservationTime,SurveyID,Locality,Station,Temperature,Salinity,Oxygen,ScientificName,IndividualCount,Size,Habitat,Substrate,VernacularName,AphiaID,Area,Density
DSC-11094_442,DSC-11094,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01094.jpg,26.4852,-84.7847,455,8/13/2017,5:02:00 PM,NF-1708,Long Mound North,1,,,,Isididae,4,,",",,bamboo coral,125276,2,0
DSC-11095_441,DSC-11095,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01095.jpg,26.4852,-84.7847,455,8/13/2017,5:02:00 PM,NF-1708,Long Mound North,1,,,,Porifera,1,,",",,NA,558,2,0
DSC-11098_453,DSC-11098,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01098.jpg,26.4852,-84.7847,455,8/13/2017,5:02:00 PM,NF-1708,Long Mound North,1,,,,Isididae,3,,",",,bamboo coral,125276,2,0
DSC-11099_1216,DSC-11099,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01099.jpg,26.4851,-84.7847,453,8/13/2017,5:03:00 PM,NF-1708,Long Mound North,1,,,,Stylasteridae,3,,",",,NA,,2,0
DSC-11099_1217,DSC-11099,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01099.jpg,26.4851,-84.7847,453,8/13/2017,5:03:00 PM,NF-1708,Long Mound North,1,,,,Isididae,2,,",",,bamboo coral,125276,2,0
DSC-11100_1215,DSC-11100,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01100.jpg,26.4851,-84.7847,453,8/13/2017,5:03:00 PM,NF-1708,Long Mound North,1,,,,Porifera,2,,",",,NA,558,2,0
DSC-11100_1213,DSC-11100,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01100.jpg,26.4851,-84.7847,453,8/13/2017,5:03:00 PM,NF-1708,Long Mound North,1,,,,Stylasteridae,2,,",",,NA,,2,0
DSC-11100_1214,DSC-11100,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01100.jpg,26.4851,-84.7847,453,8/13/2017,5:03:00 PM,NF-1708,Long Mound North,1,,,,Isididae,6,,",",,bamboo coral,125276,2,0
DSC-11101_1293,DSC-11101,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01101.jpg,26.4851,-84.7847,453,8/13/2017,5:03:00 PM,NF-1708,Long Mound North,1,,,,Porifera,3,,",",,NA,558,2,0
DSC-11101_1295,DSC-11101,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01101.jpg,26.4851,-84.7847,453,8/13/2017,5:03:00 PM,NF-1708,Long Mound North,1,,,,Stylasteridae,2,,",",,NA,,2,0
DSC-11101_1294,DSC-11101,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01101.jpg,26.4851,-84.7847,453,8/13/2017,5:03:00 PM,NF-1708,Long Mound North,1,,,,Isididae,7,,",",,bamboo coral,125276,2,0
DSC-11102_1297,DSC-11102,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01102.jpg,26.4851,-84.7847,451,8/13/2017,5:04:00 PM,NF-1708,Long Mound North,1,,,,Isididae,4,,",",,bamboo coral,125276,2,0
DSC-11102_1296,DSC-11102,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01102.jpg,26.4851,-84.7847,451,8/13/2017,5:04:00 PM,NF-1708,Long Mound North,1,,,,Porifera,2,,",",,NA,558,2,0
DSC-11102_1298,DSC-11102,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01102.jpg,26.4851,-84.7847,451,8/13/2017,5:04:00 PM,NF-1708,Long Mound North,1,,,,Stylasteridae,1,,",",,NA,,2,0
DSC-11103_1290,DSC-11103,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01103.jpg,26.4851,-84.7847,451,8/13/2017,5:04:00 PM,NF-1708,Long Mound North,1,,,,Isididae,5,,",",,bamboo coral,125276,5,0
DSC-11103_1289,DSC-11103,F:\NF-17-08\05_ROV files\ROV photos\Dive_01\HD cam stills\DSC01103.jpg,26.4851,-84.7847,451,8/13/2017,5:04:00 PM,NF-1708,Long Mound North,1,,,,Stylasteridae,2,,",",,NA,,5,0
