SampleID,ImageName,LatitudeDD,LongitudeDD,DepthInMeters,ObservationDate,SurveyID,Locality,ScientificName,Presence,IndividualCount
DSC-15620_2094,DSC-15620,26.2047,-84.7283,496,8/18/2017,NF-1708,Many Mounds,Acanthogorgia sp.,1,1
DSC-15635_2030,DSC-15635,26.2047,-84.7282,496,8/18/2017,NF-1708,Many Mounds,Acanthogorgia sp.,1,1
DSC-13219_2904,DSC-13219,26.3166,-84.7572,532,8/15/2017,NF-1708,North Reed Site (deep),Acanthogorgia sp.,1,2
DSC-17321_925,DSC-17321,26.7872,-84.8795,692,8/22/2017,NF-1708,North Wall,Acanthogorgiidae,1,1
DSC-11778_1356,DSC-11778,26.3945,-84.7603,434,8/14/2017,NF-1708,Long Mound South,Anthomastus sp.,1,1
DSC-11781_1557,DSC-11781,26.3945,-84.7603,433,8/14/2017,NF-1708,Long Mound South,Anthomastus sp.,1,1
DSC-11807_3229,DSC-11807,26.3935,-84.7602,427,8/14/2017,NF-1708,Long Mound South,Anthomastus sp.,1,1
DSC-11842_1407,DSC-11842,26.3913,-84.7599,428,8/14/2017,NF-1708,Long Mound South,Anthomastus sp.,1,1
DSC-11919_1389,DSC-11919,26.3888,-84.7585,427,8/14/2017,NF-1708,Long Mound South,Anthomastus sp.,1,1
DSC-12416_493,DSC-12416,26.3204,-84.7416,419,8/15/2017,NF-1708,North Reed Site,Anthomastus sp.,1,1
DSC-13105_1258,DSC-13105,26.3213,-84.7555,514,8/15/2017,NF-1708,North Reed Site (deep),Anthomastus sp.,1,1
DSC-13894_2863,DSC-13894,26.1842,-84.7034,435,8/16/2017,NF-1708,Many Mounds (deep),Anthomastus sp.,1,1
DSC-13914_398,DSC-13914,26.1838,-84.7035,434,8/16/2017,NF-1708,Many Mounds (deep),Anthomastus sp.,1,1
DSC-13928_2884,DSC-13928,26.1836,-84.7035,427,8/16/2017,NF-1708,Many Mounds (deep),Anthomastus sp.,1,1
DSC-14173_2938,DSC-14173,26.3367,-84.7602,515,8/17/2017,NF-1708,North Reed Site (deep),Anthomastus sp.,1,1
DSC-14178_3172,DSC-14178,26.3367,-84.7603,515,8/17/2017,NF-1708,North Reed Site (deep),Anthomastus sp.,1,1
DSC-14210_3133,DSC-14210,26.3364,-84.7604,515,8/17/2017,NF-1708,North Reed Site (deep),Anthomastus sp.,1,1
DSC-14212_3136,DSC-14212,26.3364,-84.7604,515,8/17/2017,NF-1708,North Reed Site (deep),Anthomastus sp.,1,1
DSC-14437_3223,DSC-14437,26.3378,-84.7593,503,8/18/2017,NF-1708,North Reed Site (deep),Anthomastus sp.,1,1
DSC-14438_2321,DSC-14438,26.3378,-84.7593,503,8/18/2017,NF-1708,North Reed Site (deep),Anthomastus sp.,1,1
DSC-14470_3146,DSC-14470,26.3378,-84.7593,503,8/18/2017,NF-1708,North Reed Site (deep),Anthomastus sp.,1,1
DSC-14479_3071,DSC-14479,26.3378,-84.7593,503,8/18/2017,NF-1708,North Reed Site (deep),Anthomastus sp.,1,1
