"","ImageName","LatitudeDD","LongitudeDD","DepthInMeters","SurveyID","Locality","Presence","logic","Clip_Aspect1","Clip_Slope1","Clip_Depth1","Clip_Intensity1","lon","lat"
"1","DSC-11094",26.4852,-84.7847,455,"NF-1708","Long Mound North",0,TRUE,230.196166992188,2.21391677856445,-416.690338134766,-23.9249477386475,720816.763976079,2931322.87553867
"2","DSC-11095",26.4852,-84.7847,455,"NF-1708","Long Mound North",0,TRUE,230.196166992188,2.21391677856445,-416.690338134766,-23.9249477386475,720816.763976079,2931322.87553867
"3","DSC-11096",25.6408,-84.5524,450,"NF-1708","Okeanos Ridge",0,TRUE,NA,NA,NA,NA,745737.295229246,2838177.90856195
"4","DSC-11097",26.4852,-84.7847,455,"NF-1708","Long Mound North",0,TRUE,230.196166992188,2.21391677856445,-416.690338134766,-23.9249477386475,720816.763976079,2931322.87553867
"5","DSC-11098",26.4852,-84.7847,455,"NF-1708","Long Mound North",0,TRUE,230.196166992188,2.21391677856445,-416.690338134766,-23.9249477386475,720816.763976079,2931322.87553867
"6","DSC-11099",26.4851,-84.7847,453,"NF-1708","Long Mound North",0,TRUE,244.282897949219,2.05720090866089,-417.004333496094,-23.6848945617676,720816.95512681,2931311.79540147
"7","DSC-11100",26.4851,-84.7847,453,"NF-1708","Long Mound North",0,TRUE,244.282897949219,2.05720090866089,-417.004333496094,-23.6848945617676,720816.95512681,2931311.79540147
"8","DSC-11101",26.4851,-84.7847,453,"NF-1708","Long Mound North",0,TRUE,244.282897949219,2.05720090866089,-417.004333496094,-23.6848945617676,720816.95512681,2931311.79540147
"9","DSC-11102",26.4851,-84.7847,451,"NF-1708","Long Mound North",0,TRUE,244.282897949219,2.05720090866089,-417.004333496094,-23.6848945617676,720816.95512681,2931311.79540147
"10","DSC-11103",26.4851,-84.7847,451,"NF-1708","Long Mound North",0,TRUE,244.282897949219,2.05720090866089,-417.004333496094,-23.6848945617676,720816.95512681,2931311.79540147
"11","DSC-11104",26.4851,-84.7847,451,"NF-1708","Long Mound North",0,TRUE,244.282897949219,2.05720090866089,-417.004333496094,-23.6848945617676,720816.95512681,2931311.79540147
"12","DSC-11105",26.4851,-84.7848,450,"NF-1708","Long Mound North",0,TRUE,258.678558349609,4.50865697860718,-417.278015136719,-24.1473121643066,720806.98430168,2931311.62339239
"13","DSC-11106",26.4851,-84.7848,450,"NF-1708","Long Mound North",0,TRUE,258.678558349609,4.50865697860718,-417.278015136719,-24.1473121643066,720806.98430168,2931311.62339239
"14","DSC-11107",26.4851,-84.7848,450,"NF-1708","Long Mound North",0,TRUE,258.678558349609,4.50865697860718,-417.278015136719,-24.1473121643066,720806.98430168,2931311.62339239
"15","DSC-11108",26.485,-84.7848,449,"NF-1708","Long Mound North",0,TRUE,251.950912475586,5.69574737548828,-417.571960449219,-25.8724994659424,720807.175443094,2931300.54325577
"16","DSC-11109",26.4852,-84.7847,455,"NF-1708","Long Mound North",0,TRUE,230.196166992188,2.21391677856445,-416.690338134766,-23.9249477386475,720816.763976079,2931322.87553867
"17","DSC-11110",26.485,-84.7848,449,"NF-1708","Long Mound North",0,TRUE,251.950912475586,5.69574737548828,-417.571960449219,-25.8724994659424,720807.175443094,2931300.54325577
"18","DSC-11111",26.4849,-84.7848,448,"NF-1708","Long Mound North",0,TRUE,254.408294677734,9.98624038696289,-420.524780273438,-26.103666305542,720807.366583836,2931289.46311928
"19","DSC-11113",26.4849,-84.7848,448,"NF-1708","Long Mound North",0,TRUE,254.408294677734,9.98624038696289,-420.524780273438,-26.103666305542,720807.366583836,2931289.46311928
"20","DSC-11116",26.485,-84.7848,449,"NF-1708","Long Mound North",0,TRUE,251.950912475586,5.69574737548828,-417.571960449219,-25.8724994659424,720807.175443094,2931300.54325577
"21","DSC-11118",26.4848,-84.7848,453,"NF-1708","Long Mound North",0,TRUE,248.126007080078,9.1361608505249,-419.269775390625,-25.9329223632812,720807.557723907,2931278.38298292
"22","DSC-11119",26.4848,-84.7848,454,"NF-1708","Long Mound North",0,TRUE,248.126007080078,9.1361608505249,-419.269775390625,-25.9329223632812,720807.557723907,2931278.38298292
"23","DSC-11120",26.4847,-84.7848,452,"NF-1708","Long Mound North",0,TRUE,257.609222412109,6.47131824493408,-422.014007568359,-25.105712890625,720807.748863305,2931267.3028467
"24","DSC-11121",26.4847,-84.7848,452,"NF-1708","Long Mound North",0,TRUE,257.609222412109,6.47131824493408,-422.014007568359,-25.105712890625,720807.748863305,2931267.3028467
"25","DSC-11122",26.4847,-84.7848,452,"NF-1708","Long Mound North",0,TRUE,257.609222412109,6.47131824493408,-422.014007568359,-25.105712890625,720807.748863305,2931267.3028467
"26","DSC-11123",26.4848,-84.7848,453,"NF-1708","Long Mound North",0,TRUE,248.126007080078,9.1361608505249,-419.269775390625,-25.9329223632812,720807.557723907,2931278.38298292
"27","DSC-11124",26.4846,-84.7848,449,"NF-1708","Long Mound North",0,TRUE,300.937591552734,6.76836109161377,-419.66015625,-23.7666645050049,720807.940002032,2931256.2227106
"28","DSC-11125",26.4847,-84.7848,452,"NF-1708","Long Mound North",0,TRUE,257.609222412109,6.47131824493408,-422.014007568359,-25.105712890625,720807.748863305,2931267.3028467
"29","DSC-11126",26.4846,-84.7848,449,"NF-1708","Long Mound North",0,TRUE,300.937591552734,6.76836109161377,-419.66015625,-23.7666645050049,720807.940002032,2931256.2227106
"30","DSC-11127",26.4845,-84.7848,447,"NF-1708","Long Mound North",0,TRUE,233.14372253418,8.18581485748291,-420.759918212891,-26.9217357635498,720808.131140087,2931245.14257464
"31","DSC-11128",26.4845,-84.7848,447,"NF-1708","Long Mound North",0,TRUE,233.14372253418,8.18581485748291,-420.759918212891,-26.9217357635498,720808.131140087,2931245.14257464
"32","DSC-11129",26.4845,-84.7848,447,"NF-1708","Long Mound North",0,TRUE,233.14372253418,8.18581485748291,-420.759918212891,-26.9217357635498,720808.131140087,2931245.14257464
